htid,recordid,locnum,author,datetype,startdate,enddate,textdate,subjects,genres,title
wu.89099045122,007453263,AP2.N62722,"Forry, Samuel,",s,1843,    ,1843,Climate;Meteorology;United States,NotFiction,Meteorology
pst.000000730471,007027296,<blank>,"Leverett, F. P.",s,1845,    ,1845,Latin language;Dictionaries;English;English language;Latin,NotFiction,An English-Latin lexicon prepared to accompany Leverett's Latin-English lexicon
nyp.33433081987822,008678742,<blank>,"Hunter, Robert,",m,1882,1888,1882-1888,<blank>,NotFiction;Dictionary,The encyclopaedic dictionary
nyp.33433006977726,008607242,E505.2.I29,<blank>,s,1867,    ,1867,"Civil War, 1861-1865;Regimental histories;United States;Militia;Illinois",NotFiction,Report of the adjutant general of the state of Illinois ... [1861-1866]
mdp.39015064469607,001521294,<blank>,"Bayley, William Shirley,",s,1890,    ,1890,Maine;Geology,UnknownGenre,"Catalogue of the Maine geological collection, with a brief outline history of the two surveys of the state"
nyp.33433066369517,001512876,TA410.M37,"Martens, Adolf,",s,1899,    ,1899,Building materials;Testing;Strength of materials,NotFiction,Handbook of testing materials
uc1.b266400,006512677,PZ3.C7683,"Converse, James Booth,",s,1899,    ,1899,United States;Political ethics;Politics and government,Fiction,Uncle Sam's Bible;
uva.x000023434,009794052,<blank>,"Goethe, Johann Wolfgang von,",s,1882,    ,1882,<blank>,NotFiction,The autobiography of Goethe
uc1.$b765555,006065503,<blank>,"Dubois, Guillaume,",s,1899,    ,1899,"History;Dubois, Guillaume;France;Louis XIV, 1643-1715;Regency, 1715-1723;1656-1723;Court and courtiers",NotFiction,Memoirs of Cardinal Dubois
njp.32101067488005,008674638,<blank>,"Elwes, Alfred,",s,1854,    ,1854,Spanish;Dictionaries;English;Spanish language;English language,NotFiction;Dictionary,A dictionary of the Spanish and English and English and Spanish languages
njp.32101054956840,008689024,<blank>,"Spofford, Ainsworth Rand,",s,1894,    ,1894,"Collections;Literature;Gibbon, Charles;1843-1890;joint ed",Fiction,The library of choice literature and encyclopedia of universal authorship
mdp.39015074667315,000306775,<blank>,<blank>,q,1890,1899,"<estimate=""[189-?]"">",Bible;Commentaries,NotFiction,A commentary on the Holy Bible
mdp.39015064563474,001993398,<blank>,"Tennant, James,",s,1858,    ,1858,Catalogs and collections;Fossils;Paleontology;Great Britain,UnknownGenre,"Catalogue of fossils, found in the British Isles, forming the private collection of James Tennant"
nyp.33433082186184,008678245,<blank>,"Hamilton, N. E. S. A.",m,1853,1855,1853-1855,German language;Dictionaries;Polyglot;English language;French language,NotFiction;Dictionary,"A dictionary of the English, German, and French languages"
nyp.33433074814462,008661553,<blank>,"Burton, William E.",s,1857,    ,1857,Specimens;Dummies (Bookselling),NotFiction,"Cyclopedia of wit and humor, of America Ireland, Scotland, and England"
nyp.33433074391628,008619144,<blank>,"Bottarelli, Ferdinando.",s,1805,    ,1805,French language;Dictionaries;Polyglot;Italian language;English language,NotFiction,"The new Italian, English and French pocket-dictionary"
mdp.39015061880053,001494516,QK358.G86,"Griffith, William,",m,1847,1854,1847-1854,Asia;Pictorial works;Botany,NotFiction,"Posthumous papers, bequeathed to the honourable the East India company"
nyp.33433076093685,008661342,<blank>,"Smollett, T.",s,1796,    ,1796,English fiction,Fiction,"The miscellaneous works of Tobias Smollett, M. D"
uc1.b3546692,006672184,<blank>,"Smollett, T.",s,1811,    ,1811,<blank>,NotFiction,"The miscellaneous works of Tobias Smollett, M.D"
wu.89000563270,011260778,Z996.M66M67 1900 Rosenwald Coll,"Moring, Thomas.",s,1900,    ,1900,"Moring, Thomas;Wood-engraving;Bookplates",NotFiction,One hundred book plates
nnc1.ar00009997,008410798,N5220.R8,"Runkle, John C.",s,1883,    ,1883,Catalogs;Painting;Reproduction,NotFiction,Catalogue of Mr. J. C. Runkle's collection of foreign cabinet paintings
mdp.39015071264322,003933003,<blank>,"Fitch, Abel F.,",s,1851,    ,1851,Michigan;Michigan Central Railroad Company;Trials (Arson),UnknownGenre,"Report of the conspiracy trial, in the Wayne county Circuit court, Michigan"
uva.x002755600,009779705,<blank>,"Hamilton, H. R.",s,1871,    ,1871,Greek language;Dictionaries;English;English language;Greek,NotFiction,A Greek-English lexicon
nyp.33433082448873,008642519,DT826.L63,"Le Vaillant, François,",s,1790,    ,1790,Hunting;Natural history;Early works to 1800;Description and travel;South Africa,NotFiction,"Travels from the Cape of Good-Hope, into the interior parts of Africa"
nyp.33433075923932,008619798,<blank>,"Webster, Noah,",s,1817,    ,1817,Dictionaries;English language,NotFiction,A dictionary of the English language
hvd.32044086661055,009733134,<blank>,"Worcester, Joseph E.",s,1835,    ,1835,Dictionaries;English language,NotFiction,"An elementary dictionary for common schools with pronouncing vocabularies of classical, scripture, and modern geographical names"
mdp.39015023485900,000378365,ND2920.H8,"Humphreys, Henry Noel,",s,1853,    ,1853,Miniature painting;Specimens,NotFiction,"Specimens of illuminated manuscripts of the middle ages, from the sixth to the sixteenth century"
nyp.33433043670748,008614048,PN43.W4 1889,"Wheeler, William Adolphus,",s,1889,    ,1889,Literature;Dictionaries;Fiction;Anonyms and pseudonyms,Fiction;Dictionary,An explanatory and pronouncing dictionary of the noted names of fiction
njp.32101028176111,001179956,Z7882.B81,"Bragge, William,",s,1874,    ,1874,Bibliography;Tobacco,Bibliographies;NotFiction,Bibliotheca nicotiana;
wu.89054195284,005721325,<blank>,<blank>,s,1890,    ,1890,Catalogs;Photographs;Illustrations,NotFiction;Catalog,Illustrated catalogue
mdp.39015074646251,001933637,<blank>,<blank>,s,1842,    ,1842,<blank>,UnknownGenre,"The New Testament of our Lord and Saviour, Jesus Christ"
uc1.b3295148,002104190,<blank>,"Cumberland, Richard,",s,1807,    ,1807,<blank>,UnknownGenre,Memoirs of Richard Cumberland
nyp.33433069242117,008675811,PE1120.F4,"Fellowes, D.",s,1857,    ,1857,Readers,NotFiction,The fourth school reader
mdp.39015021134930,000779059,HE1041.H72 1889,"Hogg, Alexander.",s,1885,    ,1885,Railroads,NotFiction,The railroad as an element in education
nyp.33433070304716,008644360,<blank>,"Borrow, George Henry,",s,1843,    ,1843,Spain;Description and travel,NotFiction,The Bible in Spain;
uva.x030696388,009774749,PE1625.A5 1897,<blank>,s,1897,    ,1897,Dictionaries;English language,NotFiction;Dictionary,The American encyclopædic dictionary
hvd.hwsgi8,001811094,<blank>,"Donnegan, James.",s,1841,    ,1841,Greek language;Dictionaries;English;English language;Greek,UnknownGenre,A new Greek and English lexicon;
uc1.32106001579926,007125075,<blank>,<blank>,s,1878,    ,1878,Dutch language;Dictionaries;Dutch;English language;English,NotFiction,A new pocket-dictionary of the English and Dutch languages
mdp.39015058434898,002422746,<blank>,<blank>,s,1896,    ,1896,Conifers,NotFiction,Hand-list of coniferae grown in the Royal Gardens
mdp.39015003837096,001902500,<blank>,"Janson, James Melville.",s,1899,    ,1899,<blank>,UnknownGenre,Encyclopedia of comedy
nyp.33433056925542,008611338,TX773.B87,"Brown, Susan Anna.",s,1882,    ,1882,Puddings,NotFiction,The book of forty puddings
hvd.hx6hda,009733131,<blank>,"Worcester, Joseph E.",s,1835,    ,1835,Dictionaries;English language,NotFiction,A comprehensive pronouncing and explanatory dictionary of the English language
nnc1.0023694327,008394659,<blank>,<blank>,m,1842,1843,1842-1843,Bible;Commentaries,NotFiction,The cottage Bible and family expositor
mdp.39015034634553,001171981,Z5854.I59,<blank>,s,1895,    ,1895,Engineering;Horology;Bibliography,Bibliographies;NotFiction;Catalog,Catalogue of the library of the Institution of civil engineers
hvd.hwsjgv,009733092,<blank>,"Thompson, Joseph T.",s,1841,    ,1841,<blank>,NotFiction,"An English and Oordoo school dictionary, in Roman characters: with the accentuation of the Oordoo words calculated to facilitate their pronunciation by Europeans"
njp.32101076189255,008890915,Z992.A91 1889,"Bury, Richard de,",s,1889,    ,1889,Book collecting,NotFiction,The Philobiblon of Richard de Bury;
hvd.32044086661147,001193639,PE1628.W4W9 1833 (Toner Coll.),"Webster, Noah,",s,1833,    ,1833,Dictionaries;English language,NotFiction;Dictionary,A dictionary for primary schools
njp.32101063611345,008917281,<blank>,<blank>,m,1834,1836,1834-1836,Bible;Commentaries,NotFiction,The comprehensive commentary on the Holy Bible... Edited by William Jenks
umn.31951002383775q,007477760,<blank>,<blank>,s,1872,    ,1872,"Ku-Klux Klan (1866-1869);History;United States;Reconstruction (U.S. history, 1865-1877);1865-1898",NotFiction,Report of and testimony
nyp.33433001001126,005697058,<blank>,<blank>,s,1850,    ,1850,<blank>,NotFiction,The treasury of knowledge and library of reference
mdp.39015061231331,001993537,<blank>,"Tracy, Clarissa (Tucker)",s,1889,    ,1889,<blank>,UnknownGenre,Catalogue of plants growing without cultivation in Ripon & the near vicinity
mdp.39015019677106,002444018,<blank>,"Aleksandrov, A.",s,1899,    ,1899,Russian language;Dictionaries;Russian;English language;English,NotFiction;Dictionary,Polnyĭ anglo-russkiĭ slovarʹ-
nyp.33433082179346,008677976,<blank>,"Millhouse, John.",s,1886,    ,1886,<blank>,NotFiction;Dictionary,New English and Italian pronouncing and explanatory dictionary
nyp.33433074787155,008463090,<blank>,"Spencer, Truman Joseph,",s,1891,    ,1891,Journalism;North America;Biography;Amateur journalism;American literature;United States;19th century,NotFiction,A cyclopedia of the literature of amateur journalism
nnc1.cu58935002,008435388,<blank>,"Blochmann, Heinrich Ferdinand.",s,1867,    ,1867,Urdu;Dictionaries;English;English language;Urdu language,NotFiction,"Romanized school dictionary, English and Urdu"
nyp.33433082179320,008677971,<blank>,"Meadows, F. C.",s,1840,    ,1840,"Encyclopedias and dictionaries, Italian;Encyclopedias and dictionaries;Dictionaries;Italian language",NotFiction;Dictionary,"New Italian and English dictionary, in two parts"
mdp.39015009053300,001932487,<blank>,<blank>,s,1827,    ,1827,Bible;Commentaries,UnknownGenre,An exposition of the Old and New Testament
njp.32101078172689,009037540,<blank>,<blank>,s,1896,    ,1896,<blank>,NotFiction;Catalog,Catalogue of the pictures forming the collection of Sir Charles Tennant
wu.89099909434,008994970,<blank>,"Borrow, George Henry,",s,1843,    ,1843,<blank>,NotFiction,The Bible in Spain;
nyp.33433082544333,008603716,<blank>,"Alfieri, Vittorio,",s,1810,    ,1810,"Edwards, H. W;Provenance",NotFiction,Memoirs of the life and writings of Victor Alfieri
nyp.33433081920047,008652653,E494.I64,<blank>,s,1886,    ,1886,"History;Iowa;Registers;Militia;Civil War, 1861-1865;United States",NotFiction,"List of ex-soldiers, sailors and marines, living in Iowa"
mdp.39015026451453,002557145,LF1038.A2 1858,<blank>,s,1858,    ,1858,<blank>,NotFiction,"A catalogue of the graduates in the faculties of arts, divinity, and law, of the University of Edinburgh, since its foundation"
mdp.39015071489994,003929769,<blank>,<blank>,s,1846,    ,1846,Catalogs;University of Michigan;Library,UnknownGenre,Catalogue of the Library of the University of Michigan 1846
umn.319510021804292,008375933,PE1625.A5 1899a,<blank>,s,1900,    ,1900,Encyclopedias and dictionaries;Dictionaries;English language,NotFiction;Dictionary,The American dictionary and cyclopedia
inu.30000052850728,006057101,<blank>,"Shakespeare, William,",s,1884,    ,1884,"Dictionaries, indexes, etc;1564-1616;Dictionaries;Shakespeare, William;Quotations",NotFiction;Dictionary,Dictionary of Shakespearian quotations
mdp.39015062994986,000812990,<blank>,"Baretti, Giuseppe Marco Antonio,",s,1770,    ,1770,Europe;Early works to 1800;Description and travel,NotFiction,"A journey from London to Genoa, through England, Portugal, Spain, and France"
mdp.39015027184160,001807473,<blank>,"Cubi y Soler, Mariano.",s,1823,    ,1823,<blank>,UnknownGenre,A new pocket dictionary of the English & Spanish languages
mdp.39015074786933,001724057,<blank>,"Ainsworth, Robert,",s,1812,    ,1812,Latin language;Dictionaries;English,UnknownGenre,"An abridgement of Ainsworth's dictionary, English and Latin, designed for the use of schools"
mdp.39015069249517,001937318,<blank>,<blank>,s,1832,    ,1832,<blank>,UnknownGenre,The New Testament
chi.086746406,010844597,<blank>,"James, Joseph F.",s,1881,    ,1881,Catalogs and collections;Fossils;Paleontology;Ordovician,NotFiction,Catalogue of the fossils for the Cincinnati group
nyp.33433008513305,008596928,<blank>,"Streit, Friedrich Wilhelm.",s,1837,    ,1837,Military dictionaries,NotFiction;Dictionary,"Military dictionary, English-German and German-English"
uc1.$b650833,008467270,<blank>,"Millhouse, John.",s,1897,    ,1897,<blank>,NotFiction;Dictionary,New English and Italian pronouncing and explanatory dictionary
nyp.33433066369129,008631823,TG265.B97,"Burr, William H.",s,1883,    ,1883,Trusses;Strains and stresses,Fiction,"A course on the stresses in bridge and roof trusses, arched ribs and suspension bridges"
nyp.33433010727075,008594114,<blank>,"Curtis, M. A.",s,1834,    ,1834,Wilmington;Botany;North Carolina,NotFiction,"A catalogue of plants growing spontaneously around Wilmington, North Carolina"
mdp.39015080088043,001932477,<blank>,<blank>,m,1808,1810,1808-1810,Bible;Commentaries,UnknownGenre,An exposition of all the books of the Old and New Testaments
wu.89017255415,005831428,CS435.S4,"Crisp, Frederick Arthur,",m,1887,1890,1887-1890,Wills;England;Somerset,NotFiction,"Abstracts of Somersetshire wills, etc"
uc1.$b421727,009260362,PF3640.A2L7,"Ludovici, C.",s,1832,    ,1832,German;Dictionaries;English;English language;German language,NotFiction;Dictionary,"Complete dictionary, English and German, and German and English"
uc1.b4255745,000116015,Z6034.U49U9,<blank>,s,1877,    ,1877,Surveys;United States;Bibliography;Geology,Bibliographies;NotFiction;Catalog,Catalogue of the publications of the U. S. Geological and geographical survey of the territories
nyp.33433074395330,008620178,<blank>,"Wright, M.,",s,1843,    ,1843,"Greek language;Encyclopedias and dictionaries;Encyclopedias and dictionaries, Greek;Dictionaries",NotFiction;Dictionary,A Greek and English lexicon
nyp.33433082179361,008674619,<blank>,"Millhouse, John.",s,1894,    ,1894,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,New English and Italian pronouncing and explanatory dictionary
nyp.33433081970885,008679242,<blank>,"Picard, H.",s,1843,    ,1843,"Encyclopedias and dictionaries, Dutch;Encyclopedias and dictionaries;Dictionaries;Dutch language;English language",NotFiction;Dictionary,New pocket dictionary of the English and Dutch languages
nyp.33433082193594,008673815,<blank>,"Lucian,",s,1781,    ,1781,Greek literature,Fiction,The works of Lucian
umn.31951002320647e,008374882,<blank>,"Dalrymple, Charles John.",s,1838,    ,1838,"Riot, 1838;Scotland;Riots;University of Edinburgh;Edinburgh",NotFiction,"Report of the trial of the students on the charge of mobbing, rioting, and assault, at the college, on January 11 & 12, 1838"
wu.89080469661,007671778,F74.D3S47,"Slafter, Carlos,",s,1888,    ,1888,"Genealogy;Registers of births, etc;Dedham;Dedham (Mass.);Massachusetts",NotFiction,"Epitaphs in the old Burial Place, Dedham, Mass"
nyp.33433076095631,008661466,<blank>,"Swift, Jonathan,",m,1765,1779,1765-1779,<blank>,NotFiction,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin"
mdp.39015063695103,001719675,QK495.G74U56,<blank>,m,1895,1901,1895-1901,<blank>,NotFiction,Bulletin
mdp.39015012903640,001981776,<blank>,"Cellini, Benvenuto,",s,1850,    ,1850,<blank>,NotFiction,Memoirs of Benvenuto Cellini
nyp.33433034361877,008608883,Z56.P681P 1889,"Pitman, Benn,",t,1889,1883,1889,Benn Pitman;Shorthand;Dictionaries,NotFiction;Dictionary,The phonographic dictionary
nyp.33433082327572,008686607,<blank>,"Le Vaillant, François,",s,1796,    ,1796,Early works to 1800;Description and travel;South Africa,NotFiction,Travels into the interior parts of Africa
njp.32101074434604,002707621,"CS434.B7 v.2,5, 6,14",<blank>,m,1889,1896,1889-1896,Great Britain;Probate law and practice,NotFiction,A calendar of chancery proceedings
nyp.33433081638961,008678090,<blank>,"Ainsworth, Robert,",s,1840,    ,1840,Latin language;Dictionaries;English;English language;Latin,NotFiction,An abridgement of Ainsworth's dictionary
mdp.39015005839322,001497492,QK607.C751,"Cooke, M. C.",m,1881,1891,1881-1891,Fungi;Great Britain,NotFiction,"Illustrations of British fungi (Hymenomycetes) to serve as an atlas to the ""Handbook of British fungi."""
nyp.33433082315213,008684617,<blank>,<blank>,q,1870,1879,"<estimate=""[187-?]"">",French;Dictionaries;English;English language;French language,NotFiction,Nugent's improved pocket dictionary of the French and English languages
mdp.39015014118023,001789258,<blank>,"Meadows, F C.",s,1846,    ,1846,French;Dictionaries;English;English language;French language,UnknownGenre,New French and English pronouncing dictionary
inu.30000042757066,006061570,<blank>,"Robinson, Mary,",s,1895,    ,1895,<blank>,NotFiction,Memoirs of Mary Robinson
uc1.$b784931,009519207,<blank>,"Caracciolo, Enrichetta,",s,1865,    ,1865,"Naples;Italy;Convents;Caracciolo, Enrichetta;1821-1901",NotFiction,"Memoirs of Henrietta Caracciolo, of the princes of Forino, ex-Benedictine nun"
uc1.32106014428129,007106776,<blank>,"Bartlett, John,",s,1880,    ,1880,"Concordances;1564-1616;Shakespeare, William",NotFiction,The Shakespeare phrase book
mdp.39015013750271,000152482,DA814.5.J76,"Johnstone, James Johnstone,",m,1870,1871,1870-1871,"Jacobite Rebellion, 1745-1746",ContainsBiogMaterial;NotFiction,Memoirs of the Chevalier de Johnstone
mdp.39015042481617,003494724,<blank>,"McCallum, Daniel,",q,1880,1889,"<estimate=""[188- ]"">","Biography;b. 1823;Glasgow (Scotland);McCallum, Daniel",NotFiction,Autobiography of Daniel McCallum
yale.39002039184883,008727865,<blank>,"Girdlestone, Robert Baker,",s,1891,    ,1891,"Bible;O.T;Evidences, authority, etc;Criticism, interpretation, etc",Fiction,The foundations of the Bible
mdp.39015042021082,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
nyp.33433006977890,000452138,E506.2.I39,<blank>,m,1865,1869,1865-1869,"Civil War, 1861-1865;History;Indiana;Militia",NotFiction,Report of the adjutant general of the state of Indiana
wu.89036573111,005947119,QH275.S9,"Stokes, Alfred C.",s,1896,    ,1896,Freshwater fauna;cn;Microscopy;Freshwater flora,Fiction,Aquatic microscopy for beginners;
wu.89062848189,005729655,<blank>,"Howe, Gilman Bigelow,",s,1887,    ,1887,Genealogy;United States;Bigelow family,NotFiction,"Report of the Bigelow family reunion at Lincoln Park, (Worcester, Mass.), Thursday, June 2, 1887"
mdp.39015080236618,001278952,L341.B7 1886,<blank>,m,1886,1888,1886-1888,England;Public schools;Educational law and legislation;Great Britain,NotFiction,"Report[s] of the Royal commission appointed to inquire into the working of the Elementary education acts, England and Wales [with evidence, etc.]"
mdp.39015077987371,001182656,PC1625.P3 (Call. Div.),"Petrocchi, Policarpo,",s,1894,    ,1894,Dictionaries;Italian language,NotFiction;Dictionary,Nòvo dizionàrio universale della lingua italiana
nyp.33433082185160,008677990,<blank>,"Groves, John.",s,1840,    ,1840,Greek language;Dictionaries;English;English language;Greek,NotFiction;Dictionary,A Greek and English dictionary
mdp.39015017669501,001932487,<blank>,<blank>,s,1827,    ,1827,Bible;Commentaries,UnknownGenre,An exposition of the Old and New Testament
uc1.b3950124,006761166,<blank>,"Butterworth, John,",s,1851,    ,1851,"Bible;Concordances, English;Dictionaries",NotFiction,"A new concordance to the Holy Scriptures, in a single alphabet;"
yale.39002001235077,009833516,<blank>,"Halkett, Anne Murray,",s,1875,    ,1875,<blank>,NotFiction,The autobiography of Anne lady Halkett
njp.32101076365905,009030191,<blank>,"Newton, Richard,",s,1867,    ,1867,Children's sermons,NotFiction,Bible jewels
umn.31951t000324564,008377802,<blank>,"Edwards, Thomas,",s,1844,    ,1844,<blank>,NotFiction,An English-Welsh pronouncing dictionary
nnc1.1002156717,008404621,Z665.B15,"Bailey, Henry Mercer.",s,1852,    ,1852,Libraries,NotFiction,Thoughts in a library
uc1.b3867211,006738340,<blank>,"Maynard, C. J.",s,1898,    ,1898,West Indies;Birds,NotFiction,A catalogue of the birds of the West Indies
hvd.32044103136750,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
nnc1.cu50518488,008423745,QE355.C49,"Chester, Albert Huntington,",s,1886,    ,1886,Dictionaries;Mineralogy,NotFiction,A Catalogue of minerals
mdp.39015075918154,005806209,<blank>,Kansas. University,s,1867,    ,1867,<blank>,UnknownGenre,Catalogue
mdp.39015061881770,001497497,QK617.P75 1864,"Price, Sarah.",m,1864,1865,1864-1865,Pictorial works;Fungi;Mushrooms,NotFiction,Illustrations of the fungi of our fields and woods
nyp.33433081637690,008678502,<blank>,"Wessely, J. E.,",s,1892,    ,1892,French;Dictionaries;English;English language;French language,NotFiction;Dictionary,A new pocket dictionary of the English and French languages
nyp.33433082121835,008694580,NC735.P92,"Pyne, W. H.",s,1819,    ,1819,Clothing;Figure drawing;Technique;Great Britain;Country life in art;Landscape painting;Rural population,Etchings;NotFiction;Great Britain;Drawing books,Etchings of rustic figures
nyp.33433082333497,002104190,<blank>,"Cumberland, Richard,",s,1807,    ,1807,<blank>,UnknownGenre,Memoirs of Richard Cumberland
uc1.b5002932,010658676,<blank>,<blank>,s,1875,    ,1875,Arkansas State Penitentiary (Little Rock),NotFiction,Report of the Board of Commissioners for the Leasing Management and Regulation of the Arkansas State Penitentiary
nnc1.cr60047534,008415344,<blank>,"Borrow, George Henry,",s,1888,    ,1888,Spain;Description and travel,NotFiction,"Bible in Spain; or, The journeys, adventures, and imprisonments of an Englishman in an attempt to circulate the Scriptures in the Peninsular"
njp.32101018176881,005831428,CS435.S4,"Crisp, Frederick Arthur,",m,1887,1890,1887-1890,Wills;England;Somerset,NotFiction,"Abstracts of Somersetshire wills, etc"
nyp.33433034361943,008608890,<blank>,"Pitman, Isaac,",s,1894,    ,1894,Shorthand;Dictionaries;Pitman,NotFiction;Dictionary,A phonographic and pronouncing dictionary of the English language
mdp.39015079998277,001476402,QB296.G8A5 1858,<blank>,s,1858,    ,1858,Density;Earth;Great Britain;Figure;Geodesy,NotFiction,"Account of the observations and calculations, of the principal triangulation;"
uc1.b3579407,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
uc1.b618829,006097080,<blank>,<blank>,s,1878,    ,1878,Dutch language;Dictionaries;Dutch;English language;English,NotFiction;Dictionary,A new pocket-dictionary of the English and Dutch languages
nyp.33433007797040,008603244,<blank>,<blank>,s,1899,    ,1899,"Catalogs;Library;Mountaineering;Bibliography;Alpine Club (London, England);Alps",Bibliographies;NotFiction;Catalog,Catalogue of books in the library of the Alpine Club
mdp.39015034734262,001192862,Z7409.O98,<blank>,s,1877,    ,1877,Catalogs;India;Natural history;Science;Bibliography;Public health,Bibliographies;NotFiction;Catalog,Catalogue of books on natural science in the Radcliffe library at the Oxford university museum
ien.35558005311317,010599738,Z6670.P62,"Piffard, Henry G.",s,1879,    ,1879,Bibliography;Skin,NotFiction,"Bibliotheca dermatologica; catalogue of cutaneous literature in the library of Henry G. Piffard, M. D"
hvd.32044090123126,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
mdp.39015066305387,001771016,<blank>,<blank>,m,1881,1889,1881-1889,<blank>,UnknownGenre,The Encyclopaedic dictionary
mdp.39015018626617,001625779,LF968A2 1900,<blank>,s,1900,    ,1900,University of Aberdeen;Alumni,NotFiction,"Roll of alumni in arts of the University and King's college of Aberdeen, 1596-1860"
njp.32101078309315,009832148,NK7105.P9,"Pugin, Augustus Welby Northmore,",s,1836,    ,1836,Church plate;Plate,NotFiction,Designs for gold and silver smiths
mdp.39015022907748,001331393,<blank>,"Talekara, Krishna Raghunatha Shastri.",s,1892,    ,1892,Dictionaries;English language;Marathi,UnknownGenre,"A school dictionary, English and Marâthî"
mdp.39015014768470,001022549,PR3580.B8,"Bradshaw, John,",s,1894,    ,1894,"Concordances;1608-1674;Milton, John",NotFiction,A concordance to the poetical works of John Milton
nyp.33433081809729,008685576,<blank>,<blank>,s,1899,    ,1899,"Genealogy;Registers of births, etc;Bibliography;Great Britain;Privately printed books",NotFiction,List of parish registers and other genealogical works
uva.x000958967,009776822,HQ1201.H42,"Hayley, William,",s,1785,    ,1785,Women;Celibacy,NotFiction,"A philosophical, historical, and moral essay on old maids"
hvd.32044106352990,009736655,<blank>,"Bachman, John,",s,1834,    ,1834,<blank>,NotFiction,"Catalogue of phænogamous plants and ferns, native or naturalized, found growing in the vicinity of Charleston, South-Carolina"
njp.32101065410738,008458911,<blank>,"Ainsworth, Robert,",s,1825,    ,1824,Latin language;Dictionaries;English;English language;Latin,NotFiction,"An abridgment of Ainsworth's dictionary, English and Latin, designed for the use of schools"
nyp.33433005989755,008605676,<blank>,<blank>,s,1887,    ,1887,"England;Education, Elementary;Wales",NotFiction,Elementary education acts
nnc1.cu58927930,008435319,<blank>,"Ibn Mājah, Muḥammad ibn Yazīd,",s,1855,    ,1855,Islam;Traditions,NotFiction,[Al-Sunan;
uva.x004061841,009794223,PQ4703.Z8 1890,"Gozzi, Carlo,",s,1890,    ,1890,"1702-1785;Longhi, Pietro;Commedia dell'arte",NotFiction,The memoirs of Count Carlo Gozzi;
nyp.33433019285950,008606154,HE7677.C82G9,"Guynes, Lelie Jasper.",s,1900,    ,1900,Cotton-seed;Cipher and telegraph codes,NotFiction,The twentieth century telegraph cipher code
wu.89094394517,001177688,Z5916.D62,"Dixson, Zella Allen,",s,1897,    ,1897,Bibliography;Fiction,NotFiction,The comprehensive subject index to universal prose fiction;
coo.31924000076616,001515967,QL671.W6V5,"Tunstall, Marmaduke,",s,1880,    ,1880,Great Britain;Birds,NotFiction,Tunstall's Ornithologia britannica
nnc1.50169434,008407270,<blank>,<blank>,s,1808,    ,1808,Yale University;Bibliography;Catalogs;Library,Bibliographies;NotFiction;Catalog,"Catalogue of books in the library of Yale-College, New-Haven, January, 1808"
nyp.33433075918759,008619239,<blank>,"Ainsworth, Robert,",s,1751,    ,1751,Latin language;Dictionaries;English;English language;Latin,NotFiction;Dictionary,"Thesavrvs lingvae Latinae compendiarivs or, A compendious dictionary of the Latin tongue"
nyp.33433081857603,008694557,PK1537.H8,"Hunter, William Wilson,",s,1868,    ,1868,"Dictionaries, Polyglot;India;Languages",NotFiction;Dictionary,A comparative dictionary of the languages of India and high Asia
njp.32101064794843,001516976,SK35.J18,"Jacolliot, Louis,",s,1888,    ,1888,Hunting;Africa;Asia,NotFiction,Hunting in the jungle with gun and guide after large game;
mdp.39015071253515,003300511,<blank>,<blank>,s,1874,    ,1874,Libraries;Michigan;Societies and clubs;Owosso;Women;Library catalogs,NotFiction,"Articles of association, by-laws, and catalogue of books of the Ladies' Library and Literary Association of Owosso City"
uc1.b4080192,006146871,<blank>,"Worcester, Joseph E.",c,1858,1850,1858,<blank>,NotFiction,"A comprehensive pronouncing and explanatory dictionary of the English language, with vocabularies of classical, scripture, and modern geographical names"
mdp.39015066305205,001771016,<blank>,<blank>,m,1881,1889,1881-1889,<blank>,UnknownGenre,The Encyclopaedic dictionary
mdp.39015014454725,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
nyp.33433075921498,008620167,<blank>,<blank>,s,1867,    ,1867,"Encyclopedias and dictionaries, Italian;Encyclopedias and dictionaries;Dictionaries;English;Italian language",NotFiction;Dictionary,A new pocket dictionary of the English and Italian and Italian and English languages
nnc1.cu58958282,008435684,<blank>,"Evans, Thomas,",s,1809,    ,1809,Welsh;Dictionaries;English;English language;Welsh language,NotFiction,An English-Welsh dictionary;
njp.32101054956857,008689024,<blank>,"Spofford, Ainsworth Rand,",s,1894,    ,1894,"Collections;Literature;Gibbon, Charles;1843-1890;joint ed",Fiction,The library of choice literature and encyclopedia of universal authorship
